,ener_tot,tdis_tot,idis_tot,cost_tot,emis_tot,episodes,scores,total_cost,energy_total_cost,tdisc_total_cost,day_no,DR_start_time,DR_end_time
0,0.26714957607606893,9.163886691559993,0.0,0.042993745610831496,0.06915177872265181,6,-1453.7641919283283,472.77246794066014,13.414027974000042,452.18666666666064,164,17.492607216046796,19.890805721223046
1,0.3577981638069153,9.306872278510145,0.0,0.02647706412171174,0.09355222092488322,7,-1351.5596162000054,469.8461523240047,17.994152323999995,451.85200000000486,199,17.05414276541447,19.55782449706582
2,0.28192389367990417,14.886939400936141,0.0,0.027400073720824897,0.07351691127483977,8,-1909.6868999033243,756.7369178059909,14.188917806000026,742.5479999999916,159,16.856455622154307,19.47776460048315
3,0.28674234396313325,9.550161108859653,0.0,0.021218933453271863,0.07497350692228297,9,-1149.9227745000023,443.5987754900019,14.414775490000006,429.1840000000018,170,16.95931276841573,19.385851247874015
4,0.2785057868432103,10.100936969390592,0.0,0.02500267014243679,0.07269103567858587,10,-1258.7102657066698,522.0686599946691,14.014157028000021,497.04266666666916,193,16.556126814537986,19.345584271032124
5,0.2456913430602034,8.090840004695794,0.0,0.048766138001271,0.06334275280861165,11,-1486.5970963099987,435.8558265693327,12.406493236000049,423.44933333333233,184,16.56962026206367,18.81327191359046
6,0.38108595947178164,15.623623220239903,0.0,1.0972963917457468,0.06746998520753576,12,-7760.851644891657,952.9913187673268,19.624333233999963,730.3653333333281,176,17.14140614654468,19.47145036337183
7,0.2392569500684003,3.4010159528831845,0.0,0.01770501430506162,0.06255766886129599,13,-890.5141516249956,240.39286278399726,12.02085248400005,224.48799999999693,209,16.76790986976816,18.96367612090685
8,0.24760665529618067,8.195106589415403,0.0,0.024821624891715605,0.06454873510715511,14,-1354.3775432849945,361.2816355159954,12.569635516000025,348.7119999999962,221,16.844214802840394,19.64602135955851
9,0.16411034785118087,5.260505273305486,0.0,0.016843670765999946,0.042762850966798105,15,-1051.1844318516657,299.9758627633328,8.270529430000014,291.7053333333328,253,17.205965597967463,19.226769990042172
10,0.19077580259041796,1.7850287678865437,0.0,0.014117409391690929,0.04988147463130092,16,-638.0624994000008,168.1186899880012,9.590689987999998,158.5280000000014,216,16.8275983258771,19.59741730367048
11,0.2132941179295569,4.276726071918015,0.0,0.015783764726787216,0.05576925893139072,17,-741.4048346000029,216.1058347520038,10.72038775200003,196.13600000000378,208,17.051888616176523,19.248744802682715
